"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","2.48487308146399","2.58320555605665","2.68736883292427","2.80261742243857","2.93184169457645","3.08054393305439","3.23156362628223","3.39196196316905","3.57283548856727","3.77528778693549","4.00914247016","4.36421144722232","4.7402629952046","5.11960689918492","5.49029326724494","5.85442255378782","6.04730231560184","6.24026770036113","6.44195255049412","6.64910467171297","6.84904153354633","6.9873033169878","7.10256911841419","7.19567873448653","7.26233865448584","7.31738275052357","7.37820062575825","7.44885582598851","7.52983938307383","7.60584611351422","7.65430906867477","7.39365241477493","7.16934124716055","7.01122789594196","6.92568448500651","6.90809949455966","6.98359276398823","7.08860463211114","7.22649983958934","7.38843198058513","7.57885931893724","7.7550756776541","7.95515553450182","8.16780910168531","8.38346397682851","8.58833761533924","8.91698899137161","9.23057163745579","9.54885437429692","9.89587441823776","10.2995167180133","10.5968450792654","10.9411776195638","11.3319924991012","11.7535600003867","12.1957088815948","",
"Afghanistan","AFG","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","2.79898603558747","2.8084511145457","2.80381413416337","2.78500202747612","2.75189402018473","2.70506608820739","2.71444788621676","2.71149431938738","2.69539302193722","2.66564112111976","2.62253804638157","2.62582756708442","2.61736555483635","2.59832510904125","2.57063568318856","2.53636785130105","2.54316747849274","2.53348160176782","2.50766361427945","2.46743292827019","2.41487435256732","2.43321438466629","2.42666752769657","2.39103126085433","2.31988052895654","2.20430801845286","2.2385885276698","2.26349919897209","2.27263776828079","2.25663403871919","2.20707234347926","2.22128151072915","2.23861692770721","2.25891540356079","2.28497009477083","2.32159480846113","2.31721561852898","2.30283911671924","2.28312917173559","2.26101220584481","2.23688631677896","2.21660149743122","2.20072258309285","2.18880323989904","2.18037987476516","2.17604562108084","2.19700785610009","2.21328577395135","2.22868473102436","2.24843774413263","2.27524958956208","2.30968149825366","2.35081115180802","2.39441375376844","2.43468454325801","2.46908972426905","",
"Angola","AGO","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","2.62747294361207","2.65459998692077","2.66541405311655","2.6622549681915","2.64888669557394","2.62699641371893","2.65074098228246","2.66510991171812","2.66964211237084","2.66315813498965","2.64478368327157","2.66465454370348","2.6758871566737","2.67816654728775","2.67163064403404","2.6565657389958","2.66911139764488","2.67399604336304","2.67185805516786","2.66324836706995","2.64865226894953","2.64795627180673","2.64252863266365","2.6329289473641","2.62017097448596","2.60586509740325","2.6074403663318","2.6011811335958","2.58838771789672","2.56958881403849","2.54475474641598","2.53827239181278","2.52701268321105","2.51127112043927","2.49170592236239","2.46944144701705","2.46811631566116","2.46094948886629","2.44875318145071","2.43204638712427","2.41068946607256","2.41264564948537","2.41147318981065","2.40715650189813","2.39996530889538","2.39065140723395","2.38877538654304","2.38481660696124","2.37792073086869","2.36665478725911","2.35120679337949","2.3411725008176","2.32705441047444","2.31408361289279","2.30859331725355","2.31347055192368","",
"Albania","ALB","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","5.41039598937443","5.3913011499489","5.40570714961917","5.43514137968974","5.45602181822915","5.4577625420265","5.40326298679629","5.33643202189428","5.26999771124278","5.2196144417874","5.19333656343666","5.18074149425078","5.1772484495364","5.18087822241033","5.1882006405008","5.19685189585892","5.21710090093161","5.23851717464253","5.260464763623","5.28155687300336","5.30130592318121","5.32901161066914","5.35430896437454","5.3758504478263","5.39104422058251","5.39982654706301","5.41285227275344","5.41540545458739","5.42034816944547","5.44574585105569","5.5025929062522","5.65673964825467","5.83682778536037","6.03833117581607","6.24453533904301","6.44523963644054","6.57984355928815","6.69891488068926","6.81247014887374","6.93535581637773","7.07448674152336","7.33893005105802","7.62611139145826","7.93216010676779","8.25244751684892","8.58219463417356","9.02190648108115","9.48151169321345","9.96049225983868","10.4539220979929","10.954817957857","11.2340913579648","11.5016070930795","11.7696818312194","12.0622519618116","12.3963338706153","",
"Andorra","AND","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","3.53573830178503","3.56857203907334","3.59477761960429","3.61461045558023","3.62804256128634","3.63524478877973","3.65528503696548","3.6682509277307","3.67595158576763","3.68040124095426","3.68304788612907","3.70023827141778","3.71402934561644","3.72240310288431","3.7224177361777","3.71310513916139","3.70966912065295","3.69678138262275","3.67800799928652","3.65775649564575","3.63895253345722","3.63172559279597","3.62348471565594","3.61510389778371","3.60753952762326","3.60192739632974","3.61114986239757","3.62186142129226","3.63569885313119","3.65444119639689","3.66539694081801","3.70642703796445","3.76584170191726","3.8079861547305","3.85145802408045","3.88314178256354","3.92730018856074","3.96749719753655","4.00467575317501","4.03818080358124","4.0678596707906","4.09469692007337","4.11695870388263","4.13437002214254","4.14555584434644","4.15071733308021","4.15529178701057","4.15285814920344","4.14821203180008","4.14710673163971","4.15342823478736","4.17511437254017","4.20007819710841","4.2314465496767","4.27456610103738","4.3329295348608","",
"United Arab Emirates","ARE","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","3.40344663758476","3.1539337525375","2.92320028510335","2.70173140812675","2.48227463464044","2.25721470482577","2.06298850860147","1.87971894446999","1.70739077879468","1.55129639538843","1.41780711367093","1.21674662014828","1.17289836423724","1.24287203224466","1.37847716993991","1.54066238129747","1.49103530096407","1.47098494983047","1.47160844772865","1.47168724785751","1.45516916489064","1.41742627443948","1.35600447829348","1.29311300147838","1.24691668528241","1.22108982822547","1.1913616320459","1.17762383055594","1.17528675807236","1.17521174078641","1.17159768540038","1.14515547331942","1.11212700852991","1.07657306884889","1.04361338008945","1.01412990938612","1.01113332679561","1.02334291505151","1.04185794708406","1.05492429758393","1.05608682652007","1.01753802598928","0.98200974643936","0.950466628311898","0.92310130044555","0.899424718026155","0.81570141097277","0.756227017853287","0.717593927777132","0.698689740978528","0.69688849916075","0.764202913384081","0.847714537390617","0.941860699218512","1.03930833547671","1.13787726345514","",
"Argentina","ARG","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","5.57898935815502","5.72061986689401","5.85798867157073","5.99346170504876","6.13011085124365","6.26993946028586","6.42770251708333","6.58200231194555","6.73249482089824","6.8785035596047","7.01974991763672","7.16871999613238","7.30657569014182","7.43369355994522","7.55012428588503","7.65598233013228","7.79324725736185","7.91349107264535","8.01992701595316","8.11775023812938","8.21114393499526","8.29038173003142","8.37335973328818","8.45737590816879","8.53719775272855","8.6114707924612","8.72464881987833","8.81442669910526","8.89123827684502","8.9691840878435","9.05347857942043","9.16011727448882","9.26963062917951","9.37622248270584","9.46995255585996","9.54715352427323","9.64780232505187","9.73401910729109","9.80614861748017","9.86502857696072","9.91159052404385","9.97282337112692","10.0152699526356","10.0465929120668","10.0763494267751","10.110252544795","10.1577425980346","10.2108228784043","10.2699727055663","10.3344618758257","10.4049947996107","10.5005529146418","10.5980692726567","10.6998318503718","10.8089836893072","10.9265535851309","",
"Armenia","ARM","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","6.37085010356668","6.12695742356554","5.90019828486092","5.70254348499126","5.54825167564413","5.44435624702333","5.41283777085009","5.4266354114508","5.47056231951841","5.52302788260726","5.57189303718858","5.65207249890929","5.70119358538646","5.73362349866056","5.767984399032","5.81183090616318","5.87939424822336","5.95518111375711","6.01506573964706","6.02302989853391","5.96612470763473","5.88022130497459","5.74983001224287","5.60355419774933","5.48073542061841","5.4054224027873","5.34068636904164","5.30668598176366","5.32386405233078","5.42309299069641","5.62144274754246","6.06270886058648","6.60797791678033","7.21666464372063","7.8186157024605","8.36610383618875","8.76712069766893","9.07471574285484","9.33549376509416","9.62790336865106","9.99441500238289","10.4102696831018","10.8661615772128","11.2779523254359","11.5376429866404","11.6009163768024","11.5157381632764","11.3017328304079","11.0233883434414","10.7584079878413","10.5477449606816","10.4455751783028","10.4016366169197","10.4407738540842","10.5795977185467","10.8259833940416","",
"American Samoa","ASM","Population ages 65 and above (% of total)","SP.POP.65UP.TO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
