time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-21T20:20:56.322Z,62.0433,-149.5067,21.4,2.7,ml,,,,0.67,ak,ak16210997,2017-06-21T20:30:33.163Z,"22km SE of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-06-21T20:09:06.470Z,18.9255,-155.538,38.12,4.51,ml,54,247,0.1341,0.11,hv,hv61807446,2017-06-22T18:31:04.806Z,"28km ESE of Hawaiian Ocean View, Hawaii",earthquake,0.59,0.72,0.197,49,reviewed,hv,hv
2017-06-21T19:41:09.070Z,38.3959,73.3768,125.13,4.7,mb,,57,1.608,0.76,us,us20009nww,2017-06-22T17:16:31.040Z,"57km WNW of Murghob, Tajikistan",earthquake,6.1,7.3,0.045,149,reviewed,us,us
2017-06-21T19:31:14.000Z,-21.144,-68.936,105.3,4.3,mb,,,,0.5,us,us20009nwr,2017-06-22T14:01:52.040Z,"146km N of Calama, Chile",earthquake,6.3,5.9,0.177,9,reviewed,guc,us
2017-06-21T19:23:58.068Z,59.1045,-154.138,39.3,2.9,ml,,,,0.84,ak,ak16210877,2017-06-21T19:26:38.392Z,"84km SSE of Old Iliamna, Alaska",earthquake,,2.1,,,automatic,ak,ak
2017-06-21T19:20:27.490Z,52.1735,179.4115,160,5,mb,,42,0.277,0.91,us,us20009nwi,2017-06-22T13:40:06.040Z,"27km NNW of Semisopochnoi Island, Alaska",earthquake,7.3,5.1,0.027,451,reviewed,us,us
2017-06-21T19:00:20.430Z,37.9085,-122.2923333,4.57,3.02,mw,192,27,0.002079,0.12,nc,nc72819101,2017-06-22T18:29:01.847Z,"1km ESE of El Cerrito, California",earthquake,0.08,0.11,,2,reviewed,nc,nc
2017-06-21T18:10:49.260Z,37.5326653,-118.8256683,1.25,2.64,md,30,96,0.05733,0.05,nc,nc72819071,2017-06-22T04:10:58.308Z,"18km SE of Mammoth Lakes, California",earthquake,0.29,0.91,0.21,31,automatic,nc,nc
2017-06-21T17:44:32.161Z,57.7951,-154.3192,48.8,4.1,ml,,,,0.43,ak,ak16210690,2017-06-22T17:24:34.040Z,"34km NW of Larsen Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-06-21T17:31:16.510Z,44.7826667,-111.0155,9.62,2.69,ml,27,45,0.02426,0.15,uu,uu60206727,2017-06-22T13:10:54.040Z,"15km NNE of West Yellowstone, Montana",earthquake,0.28,0.43,0.154,7,reviewed,uu,uu
2017-06-21T16:45:00.360Z,-15.0961,-179.102,418.14,4.6,mb,,97,3.793,0.91,us,us20009nw3,2017-06-21T19:41:01.040Z,"133km SW of Sigave, Wallis and Futuna",earthquake,11.8,6.6,0.04,191,reviewed,us,us
2017-06-21T15:20:48.177Z,61.7369,-148.1861,15,2.9,ml,,,,0.24,ak,ak16210582,2017-06-21T15:23:32.089Z,"35km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-21T15:00:19.600Z,36.5481,71.1153,89.86,4.5,mb,,110,0.72,1.07,us,us20009nvt,2017-06-21T16:01:47.040Z,"40km WSW of Ashkasham, Afghanistan",earthquake,4.6,7.5,0.145,14,reviewed,us,us
2017-06-21T13:16:40.040Z,11.2838,143.1078,10,4.9,mb,,52,2.865,0.73,us,us20009nvq,2017-06-21T14:02:26.040Z,"277km SW of Merizo Village, Guam",earthquake,9.7,1.8,0.042,177,reviewed,us,us
2017-06-21T10:57:28.970Z,36.6434,70.9292,243.35,4.2,mb,,78,0.558,0.81,us,us20009num,2017-06-21T12:37:58.040Z,"25km SSE of Jarm, Afghanistan",earthquake,9.2,8.7,0.186,8,reviewed,us,us
