cds	rtype	sname	dname	cname	enroll12	NumTstTakr	AvgScrRead	AvgScrMath	AvgScrWrite	NumGE1500	PctGE1500
10621661030840	S	Carter G. Woodson Public Charter	Fresno Unified	Fresno	55	1	*	*	*	*	*
10621661031632	S	Dewolf Continuation High	Fresno Unified	Fresno	159	1	*	*	*	*	*
10621661031897	S	Edison High	Fresno Unified	Fresno	453	329	469	475	466	125	37.99
10621661032507	S	Fresno High	Fresno Unified	Fresno	481	108	440	449	437	22	20.37
10621661032911	S	Herbert Hoover High	Fresno Unified	Fresno	449	208	417	426	416	30	14.42
10621661034214	S	McLane High	Fresno Unified	Fresno	436	146	379	398	390	11	7.53
10621661035831	S	Roosevelt High	Fresno Unified	Fresno	464	192	392	399	394	20	10.42
10622570000000	D		Kingsburg Joint Union High	Fresno	276	122	467	483	470	46	37.70
10622570124727	S	Kingsburg Independent Study High	Kingsburg Joint Union High	Fresno	17	0	NA	NA	NA	NA	NA
10622571033695	S	Kingsburg High	Kingsburg Joint Union High	Fresno	246	122	467	483	470	46	37.70
10622650000000	D		Kings Canyon Joint Unified	Fresno	787	165	436	446	436	42	25.45
10622650108092	S	Orange Cove High	Kings Canyon Joint Unified	Fresno	129	37	373	410	408	3	8.11
10622650116640	S	Dunlap Leadership Academy	Kings Canyon Joint Unified	Fresno	18	0	NA	NA	NA	NA	NA
10622651030378	S	Mountain View (Alternative)	Kings Canyon Joint Unified	Fresno	150	0	NA	NA	NA	NA	NA
10622651035310	S	Reedley High	Kings Canyon Joint Unified	Fresno	443	128	455	457	445	39	30.47
10622810000000	D		Laton Joint Unified	Fresno	46	1	*	*	*	*	*
10622811033950	S	Laton High	Laton Joint Unified	Fresno	46	1	*	*	*	*	*
10623310000000	D		Orange Center	Fresno	23	0	NA	NA	NA	NA	NA
10623310124354	S	National University Academy - Orange Cen	Orange Center	Fresno	23	0	NA	NA	NA	NA	NA
10623640000000	D		Parlier Unified	Fresno	188	46	407	405	399	4	8.70
10623641034990	S	Parlier High	Parlier Unified	Fresno	156	46	407	405	399	4	8.70
10623800000000	D		Raisin City Elementary	Fresno	198	0	NA	NA	NA	NA	NA
10623800124982	S	Ambassador Phillip V. Sanchez Public Cha	Raisin City Elementary	Fresno	198	0	NA	NA	NA	NA	NA
10624140000000	D		Sanger Unified	Fresno	796	369	449	454	444	90	24.39
10624141030451	S	Taft High	Sanger Unified	Fresno	50	0	NA	NA	NA	NA	NA
10624141030766	S	Hallmark Charter	Sanger Unified	Fresno	41	13	546	542	519	8	61.54
10624141036094	S	Sanger High	Sanger Unified	Fresno	659	356	446	451	442	82	23.03
10624300000000	D		Selma Unified	Fresno	471	151	436	443	447	30	19.87
10624301030758	S	Selma Independent	Selma Unified	Fresno	56	0	NA	NA	NA	NA	NA
10624301036672	S	Selma High	Selma Unified	Fresno	383	151	436	443	447	30	19.87
10625390000000	D		West Park Elementary	Fresno	112	2	*	*	*	*	*
10625396112387	S	West Park Charter Academy	West Park Elementary	Fresno	112	2	*	*	*	*	*
10625470000000	D		Westside Elementary	Fresno	345	2	*	*	*	*	*
10625470120535	S	Crescent View South Charter	Westside Elementary	Fresno	344	2	*	*	*	*	*
10738090000000	D		Firebaugh-Las Deltas Unified	Fresno	164	71	403	385	416	7	9.86
10738091030121	S	Firebaugh High	Firebaugh-Las Deltas Unified	Fresno	159	71	403	385	416	7	9.86
