cds	rtype	sname	dname	cname	enroll12	NumTstTakr	AvgScrRead	AvgScrMath	AvgScrWrite	NumGE1500	PctGE1500
19647330100750	S	Wallis Annenberg High	Los Angeles Unified	Los Angeles	78	83	435	450	457	23	27.71
19647330100776	S	North Valley Military Institute College	Los Angeles Unified	Los Angeles	17	8	*	*	*	*	*
19647330100800	S	Central City Value	Los Angeles Unified	Los Angeles	104	95	402	393	408	13	13.68
19647330101196	S	View Park Preparatory Accelerated High	Los Angeles Unified	Los Angeles	168	124	407	392	407	11	8.87
19647330101659	S	Crenshaw Arts-Technology Charter High	Los Angeles Unified	Los Angeles	70	56	383	364	388	3	5.36
19647330101675	S	Oscar De La Hoya Animo Charter High	Los Angeles Unified	Los Angeles	145	127	398	402	407	15	11.81
19647330101683	S	Renaissance Arts Academy	Los Angeles Unified	Los Angeles	33	34	482	460	471	11	32.35
19647330102434	S	Animo South Los Angeles Charter	Los Angeles Unified	Los Angeles	130	103	392	370	390	6	5.83
19647330102541	S	New Designs Charter	Los Angeles Unified	Los Angeles	92	74	394	380	399	6	8.11
19647330102764	S	Richard A. Alonzo Community Day	Los Angeles Unified	Los Angeles	34	1	*	*	*	*	*
19647330102913	S	Middle College High	Los Angeles Unified	Los Angeles	96	83	453	443	443	22	26.51
19647330102921	S	Harbor Teacher Preparation Academy	Los Angeles Unified	Los Angeles	94	92	498	519	502	48	52.17
19647330106351	S	Ivy Academia	Los Angeles Unified	Los Angeles	55	41	458	462	461	13	31.71
19647330106435	S	Camino Nuevo Charter High	Los Angeles Unified	Los Angeles	119	61	430	450	440	15	24.59
19647330106831	S	Animo Venice Charter High	Los Angeles Unified	Los Angeles	124	106	426	419	435	16	15.09
19647330106849	S	Animo Pat Brown	Los Angeles Unified	Los Angeles	125	107	392	406	410	10	9.35
19647330106864	S	Alliance Gertz-Ressler Richard Merkin 6-	Los Angeles Unified	Los Angeles	113	118	422	434	434	24	20.34
19647330106997	S	Orthopaedic Hospital	Los Angeles Unified	Los Angeles	153	133	434	442	438	29	21.80
19647330107003	S	Northridge Academy High	Los Angeles Unified	Los Angeles	168	108	417	424	419	17	15.74
19647330107011	S	International Studies Learning Center at	Los Angeles Unified	Los Angeles	63	44	439	441	424	8	18.18
19647330107755	S	Port of Los Angeles High	Los Angeles Unified	Los Angeles	221	120	478	489	479	49	40.83
19647330108878	S	CHAMPS - Charter HS of Arts-Multimedia &	Los Angeles Unified	Los Angeles	245	173	511	469	503	86	49.71
19647330108894	S	Alliance Judy Ivie Burton Technology Aca	Los Angeles Unified	Los Angeles	132	126	381	398	390	13	10.32
19647330108936	S	Alliance Collins Family College-Ready Hi	Los Angeles Unified	Los Angeles	139	142	381	407	392	13	9.15
19647330109322	S	Pacific Boulevard	Los Angeles Unified	Los Angeles	21	0	NA	NA	NA	NA	NA
19647330109447	S	Santee Education Complex	Los Angeles Unified	Los Angeles	342	202	382	387	387	11	5.45
19647330109454	S	South East High	Los Angeles Unified	Los Angeles	553	293	433	417	446	57	19.45
19647330109462	S	Maywood Academy High	Los Angeles Unified	Los Angeles	226	129	421	426	430	18	13.95
19647330109512	S	Cal Burke High	Los Angeles Unified	Los Angeles	60	2	*	*	*	*	*
19647330109553	S	PUC CA Academy for Liberal Studies Early	Los Angeles Unified	Los Angeles	42	41	379	407	410	2	4.88
19647330109876	S	PUC Community Charter Early College High	Los Angeles Unified	Los Angeles	83	84	386	401	413	8	9.52
19647330110304	S	Los Angeles Academy of Arts & Enterprise	Los Angeles Unified	Los Angeles	36	32	382	363	385	2	6.25
19647330111484	S	New Village Girls Academy	Los Angeles Unified	Los Angeles	30	14	400	326	400	0	0.00
19647330111492	S	Alliance College-Ready Academy High No.	Los Angeles Unified	Los Angeles	151	153	351	358	369	3	1.96
19647330111500	S	Alliance Dr. Olga Mohan High	Los Angeles Unified	Los Angeles	108	108	405	463	429	19	17.59
19647330111575	S	Animo Ralph Bunche High	Los Angeles Unified	Los Angeles	145	80	373	372	399	6	7.50
19647330111583	S	Animo Jackie Robinson High	Los Angeles Unified	Los Angeles	138	123	364	373	371	6	4.88
19647330111625	S	Animo Watts College Preparatory Academy	Los Angeles Unified	Los Angeles	139	104	340	342	364	2	1.92
19647330111641	S	Alliance Ouchi-O'Donovan 6-12 Complex	Los Angeles Unified	Los Angeles	128	126	396	399	406	17	13.49
19647330111658	S	Alliance Marc & Eva Stern Math and Scien	Los Angeles Unified	Los Angeles	128	117	407	415	423	19	16.24
19647330112029	S	School of Business and Tourism at Contre	Los Angeles Unified	Los Angeles	80	94	379	370	381	4	4.26
19647330112037	S	East Valley Senior High	Los Angeles Unified	Los Angeles	165	78	408	418	424	7	8.97
19647330112045	S	Arleta High	Los Angeles Unified	Los Angeles	371	232	391	398	401	19	8.19
19647330112052	S	Panorama High	Los Angeles Unified	Los Angeles	311	85	437	424	429	18	21.18
19647330112508	S	Bright Star Secondary Charter Academy	Los Angeles Unified	Los Angeles	80	79	438	456	451	20	25.32
19647330112557	S	Frederick Douglass Academy High	Los Angeles Unified	Los Angeles	85	62	391	396	396	7	11.29
19647330112862	S	Student Empowerment Academy	Los Angeles Unified	Los Angeles	55	33	381	375	404	2	6.06
19647330112870	S	Contreras Learning Center-Los Angeles Sc	Los Angeles Unified	Los Angeles	83	64	378	372	388	3	4.69
19647330114850	S	West Adams Preparatory High	Los Angeles Unified	Los Angeles	326	193	402	423	402	20	10.36
19647330115030	S	Magnolia Science Academy 3	Los Angeles Unified	Los Angeles	12	0	NA	NA	NA	NA	NA
19647330115212	S	Magnolia Science Academy 2	Los Angeles Unified	Los Angeles	21	0	NA	NA	NA	NA	NA
19647330115253	S	Discovery Charter Preparatory No. 2	Los Angeles Unified	Los Angeles	83	81	373	375	373	4	4.94
19647330116509	S	Alliance Media Arts and Entertainment De	Los Angeles Unified	Los Angeles	77	60	403	388	409	4	6.67
19647330117051	S	Edward R. Roybal Learning Center	Los Angeles Unified	Los Angeles	325	181	406	409	408	20	11.05
19647330117069	S	Helen Bernstein High	Los Angeles Unified	Los Angeles	159	51	388	396	384	3	5.88
19647330117077	S	APEX Academy	Los Angeles Unified	Los Angeles	106	45	382	363	368	3	6.67
19647330117598	S	Alliance Health Services Academy High	Los Angeles Unified	Los Angeles	95	0	NA	NA	NA	NA	NA
19647330117606	S	Alliance Environmental Science and Techn	Los Angeles Unified	Los Angeles	134	0	NA	NA	NA	NA	NA
19647330117721	S	Contreras Learning Center-Academic Leade	Los Angeles Unified	Los Angeles	68	50	402	409	408	2	4.00
19647330117739	S	Roybal LC-Civitas School of Leadership	Los Angeles Unified	Los Angeles	62	50	353	373	344	1	2.00
19647330117747	S	RFK Community Schools-Los Angeles High S	Los Angeles Unified	Los Angeles	87	67	412	418	427	10	14.93
19647330117754	S	Belmont SH-LA Teacher Preparatory Academ	Los Angeles Unified	Los Angeles	47	35	352	374	350	1	2.86
19647330117762	S	RFK Community Schools- for the Visual Ar	Los Angeles Unified	Los Angeles	105	65	414	426	412	13	20.00
19647330117911	S	New Millennium Secondary	Los Angeles Unified	Los Angeles	89	71	403	394	403	6	8.45
19647330118588	S	Alain Leroy Locke College Prep Academy	Los Angeles Unified	Los Angeles	603	230	374	378	381	11	4.78
19647330119651	S	Sun Valley High	Los Angeles Unified	Los Angeles	128	40	418	409	396	5	12.50
19647330119685	S	RFK Community Schools-New Open World Aca	Los Angeles Unified	Los Angeles	62	47	397	407	422	5	10.64
19647330119693	S	RFK Community Schools-UCLA Community K-1	Los Angeles Unified	Los Angeles	87	58	411	465	417	10	17.24
19647330119727	S	Ramon C. Cortines School of Visual and P	Los Angeles Unified	Los Angeles	329	219	464	446	449	60	27.40
19647330119966	S	Felicitas and Gonzalo Mendez High	Los Angeles Unified	Los Angeles	163	67	407	399	408	5	7.46
19647330120071	S	New Designs Charter School-Watts	Los Angeles Unified	Los Angeles	14	0	NA	NA	NA	NA	NA
19647330120360	S	Daniel Pearl Journalism & Communications	Los Angeles Unified	Los Angeles	91	67	498	476	506	22	32.84
19647330121095	S	RFK Community Schools-Ambassador-Global	Los Angeles Unified	Los Angeles	70	0	NA	NA	NA	NA	NA
19647330121285	S	Alliance Cindy and Bill Simon Technology	Los Angeles Unified	Los Angeles	79	70	359	366	366	1	1.43
19647330121293	S	Alliance Tennenbaum Family Technology Hi	Los Angeles Unified	Los Angeles	87	0	NA	NA	NA	NA	NA
19647330122275	S	Academy of Environmental & Social Policy	Los Angeles Unified	Los Angeles	93	51	375	358	379	0	0.00
19647330122333	S	Math, Science, & Technology Magnet Acade	Los Angeles Unified	Los Angeles	80	65	412	425	418	8	12.31
19647330122341	S	East Los Angeles Performing Arts Academy	Los Angeles Unified	Los Angeles	107	59	383	375	389	2	3.39
19647330122358	S	Humanitas Academy of Art and Technology	Los Angeles Unified	Los Angeles	90	64	400	390	416	8	12.50
19647330122366	S	Social Justice Leadership Academy at Est	Los Angeles Unified	Los Angeles	90	51	398	374	407	4	7.84
19647330122374	S	East Los Angeles Renaissance Academy at	Los Angeles Unified	Los Angeles	80	70	406	382	393	7	10.00
19647330122382	S	Engineering and Technology Academy at Es	Los Angeles Unified	Los Angeles	93	75	365	375	368	2	2.67
19647330122598	S	PUC Triumph Charter High	Los Angeles Unified	Los Angeles	78	0	NA	NA	NA	NA	NA
19647330122606	S	PUC Lakeview Charter High	Los Angeles Unified	Los Angeles	98	0	NA	NA	NA	NA	NA
19647330122721	S	Aspire Pacific Academy	Los Angeles Unified	Los Angeles	119	7	*	*	*	*	*
19647330122762	S	Los Angeles Big Picture High	Los Angeles Unified	Los Angeles	22	0	NA	NA	NA	NA	NA
19647330124362	S	Valley Academy of Arts and Sciences	Los Angeles Unified	Los Angeles	195	0	NA	NA	NA	NA	NA
19647330124370	S	Cesar E. Chavez Learning Academies-Arts,	Los Angeles Unified	Los Angeles	81	0	NA	NA	NA	NA	NA
19647330124388	S	Cesar E. Chavez Learning Academies-Socia	Los Angeles Unified	Los Angeles	92	0	NA	NA	NA	NA	NA
19647330124396	S	Cesar E. Chavez Learning Academies-Acade	Los Angeles Unified	Los Angeles	58	0	NA	NA	NA	NA	NA
19647330124404	S	Cesar E. Chavez Learning Academies-Teach	Los Angeles Unified	Los Angeles	79	0	NA	NA	NA	NA	NA
19647330124412	S	Los Angeles River at Sonia Sotomayor Lea	Los Angeles Unified	Los Angeles	62	0	NA	NA	NA	NA	NA
19647330124420	S	School of History and Dramatic Arts at S	Los Angeles Unified	Los Angeles	52	0	NA	NA	NA	NA	NA
19647330124438	S	ARTLAB at Sonia Sotomayor Learning Acade	Los Angeles Unified	Los Angeles	44	0	NA	NA	NA	NA	NA
19647330124461	S	Social Justice Schools: Global Issues Ac	Los Angeles Unified	Los Angeles	80	0	NA	NA	NA	NA	NA
19647330124479	S	Social Justice Schools: Fine Arts Academ	Los Angeles Unified	Los Angeles	98	0	NA	NA	NA	NA	NA
19647330124487	S	Public Service Community at Diego Rivera	Los Angeles Unified	Los Angeles	66	0	NA	NA	NA	NA	NA
19647330124495	S	Communication and Technology at Diego Ri	Los Angeles Unified	Los Angeles	70	0	NA	NA	NA	NA	NA
19647330124503	S	Green Design at Diego Rivera Learning Co	Los Angeles Unified	Los Angeles	64	0	NA	NA	NA	NA	NA
19647330124511	S	Performing Arts Community at Diego River	Los Angeles Unified	Los Angeles	55	0	NA	NA	NA	NA	NA
19647330124529	S	Rancho Dominguez Preparatory	Los Angeles Unified	Los Angeles	148	0	NA	NA	NA	NA	NA
19647330124560	S	Synergy Quantum Academy	Los Angeles Unified	Los Angeles	64	0	NA	NA	NA	NA	NA
19647330124883	S	Animo College Preparatory Academy	Los Angeles Unified	Los Angeles	107	0	NA	NA	NA	NA	NA
19647330124891	S	Alliance Renee and Meyer Luskin Academy	Los Angeles Unified	Los Angeles	94	0	NA	NA	NA	NA	NA
19647330124933	S	PUC Early College Academy for Leaders an	Los Angeles Unified	Los Angeles	69	0	NA	NA	NA	NA	NA
19647330125963	S	Leadership in Entertainment and Media Ar	Los Angeles Unified	Los Angeles	69	0	NA	NA	NA	NA	NA
19647330125989	S	STEM Academy of Hollywood	Los Angeles Unified	Los Angeles	57	0	NA	NA	NA	NA	NA
19647330126482	S	Augustus F. Hawkins High A Critical Desi	Los Angeles Unified	Los Angeles	48	0	NA	NA	NA	NA	NA
19647330126490	S	Augustus F. Hawkins High B Community Hea	Los Angeles Unified	Los Angeles	65	0	NA	NA	NA	NA	NA
19647330126508	S	Augustus F. Hawkins High C Responsible I	Los Angeles Unified	Los Angeles	54	0	NA	NA	NA	NA	NA
19647330126516	S	Linda Esperanza Marquez High A Huntingto	Los Angeles Unified	Los Angeles	121	0	NA	NA	NA	NA	NA
19647330126524	S	Linda Esperanza Marquez High B LIBRA Aca	Los Angeles Unified	Los Angeles	87	0	NA	NA	NA	NA	NA
19647330126532	S	Linda Esperanza Marquez High C School of	Los Angeles Unified	Los Angeles	108	0	NA	NA	NA	NA	NA
19647330126540	S	Science, Technology, Engineering, Arts a	Los Angeles Unified	Los Angeles	29	0	NA	NA	NA	NA	NA
19647330126557	S	Visual and Performing Arts at Legacy Hig	Los Angeles Unified	Los Angeles	32	0	NA	NA	NA	NA	NA
19647330126573	S	Academy for Multilingual Arts and Scienc	Los Angeles Unified	Los Angeles	41	0	NA	NA	NA	NA	NA
19647330126615	S	Academies of Education and Empowerment a	Los Angeles Unified	Los Angeles	141	0	NA	NA	NA	NA	NA
19647330126623	S	Academy of Medical Arts at Carson High	Los Angeles Unified	Los Angeles	112	0	NA	NA	NA	NA	NA
19647330127787	S	Humanities and Arts (HARTS) Academy of L	Los Angeles Unified	Los Angeles	62	0	NA	NA	NA	NA	NA
19647330127795	S	Contreras Learning Center-School of Soci	Los Angeles Unified	Los Angeles	87	0	NA	NA	NA	NA	NA
19647330127803	S	Early College Academy-LA Trade Tech Coll	Los Angeles Unified	Los Angeles	70	0	NA	NA	NA	NA	NA
19647331930064	S	William Tell Aggeler Opportunity High	Los Angeles Unified	Los Angeles	13	0	NA	NA	NA	NA	NA
19647331930387	S	Central High	Los Angeles Unified	Los Angeles	148	3	*	*	*	*	*
19647331930429	S	View Park Continuation	Los Angeles Unified	Los Angeles	25	4	*	*	*	*	*
19647331930619	S	Harold McAlister High (Opportunity)	Los Angeles Unified	Los Angeles	47	0	NA	NA	NA	NA	NA
19647331930650	S	Phineas Banning Senior High	Los Angeles Unified	Los Angeles	407	275	399	423	412	25	9.09
19647331930692	S	Thomas Riley High	Los Angeles Unified	Los Angeles	42	2	*	*	*	*	*
19647331930783	S	Phoenix Continuation	Los Angeles Unified	Los Angeles	27	1	*	*	*	*	*
19647331930866	S	Bell Senior High	Los Angeles Unified	Los Angeles	668	375	418	434	421	54	14.40
19647331930924	S	Belmont Senior High	Los Angeles Unified	Los Angeles	214	127	395	407	400	14	11.02
19647331930940	S	John R. Wooden High	Los Angeles Unified	Los Angeles	37	2	*	*	*	*	*
19647331931047	S	Birmingham Community Charter High	Los Angeles Unified	Los Angeles	702	337	432	437	435	69	20.47
19647331931476	S	Canoga Park Senior High	Los Angeles Unified	Los Angeles	360	167	437	433	422	35	20.96
19647331931484	S	Mission Continuation	Los Angeles Unified	Los Angeles	34	3	*	*	*	*	*
19647331931500	S	Owensmouth Continuation	Los Angeles Unified	Los Angeles	51	2	*	*	*	*	*
19647331931526	S	Carson Senior High	Los Angeles Unified	Los Angeles	267	144	432	416	421	23	15.97
19647331931534	S	Will Rogers Continuation	Los Angeles Unified	Los Angeles	78	1	*	*	*	*	*
19647331931708	S	Chatsworth Charter High	Los Angeles Unified	Los Angeles	627	242	470	488	468	96	39.67
19647331931716	S	Valley Alternative Magnet	Los Angeles Unified	Los Angeles	42	28	452	467	465	8	28.57
19647331931864	S	Grover Cleveland Charter High	Los Angeles Unified	Los Angeles	729	405	509	525	519	219	54.07
19647331931971	S	John Hope Continuation	Los Angeles Unified	Los Angeles	43	1	*	*	*	*	*
19647331931997	S	Odyssey Continuation	Los Angeles Unified	Los Angeles	38	4	*	*	*	*	*
19647331932128	S	Crenshaw Science, Technology, Engineerin	Los Angeles Unified	Los Angeles	269	160	374	366	378	10	6.25
19647331932250	S	Henry David Thoreau Continuation	Los Angeles Unified	Los Angeles	18	3	*	*	*	*	*
19647331932318	S	Eagle Tree Continuation	Los Angeles Unified	Los Angeles	47	1	*	*	*	*	*
19647331932342	S	Evergreen Continuation	Los Angeles Unified	Los Angeles	32	1	*	*	*	*	*
19647331932383	S	Susan Miller Dorsey Senior High	Los Angeles Unified	Los Angeles	302	162	376	367	378	6	3.70
19647331932391	S	West Hollywood Opportunity	Los Angeles Unified	Los Angeles	14	0	NA	NA	NA	NA	NA
19647331932540	S	Eagle Rock High	Los Angeles Unified	Los Angeles	435	287	476	469	465	102	35.54
19647331932623	S	El Camino Real Charter High	Los Angeles Unified	Los Angeles	897	488	524	543	526	300	61.48
19647331932847	S	Los Angeles Center for Enriched Studies	Los Angeles Unified	Los Angeles	210	191	553	582	556	140	73.30
19647331932888	S	Downtown Business High	Los Angeles Unified	Los Angeles	226	199	457	491	456	66	33.17
19647331932920	S	Fairfax Senior High	Los Angeles Unified	Los Angeles	404	232	464	493	468	79	34.05
19647331932987	S	John H. Francis Polytechnic	Los Angeles Unified	Los Angeles	712	383	426	448	433	80	20.89
19647331933001	S	King/Drew Medical Magnet High	Los Angeles Unified	Los Angeles	322	261	449	443	457	64	24.52
19647331933043	S	Benjamin Franklin Senior High	Los Angeles Unified	Los Angeles	272	173	436	441	443	37	21.39
19647331933118	S	John C. Fremont Senior High	Los Angeles Unified	Los Angeles	571	229	392	384	386	12	5.24
19647331933233	S	Sherman Oaks Center for Enriched Studies	Los Angeles Unified	Los Angeles	250	177	529	531	526	103	58.19
19647331933241	S	Gardena Senior High	Los Angeles Unified	Los Angeles	345	135	403	399	413	18	13.33
19647331933381	S	James A. Garfield Senior High	Los Angeles Unified	Los Angeles	490	297	406	428	423	47	15.82
19647331933746	S	Granada Hills Charter High	Los Angeles Unified	Los Angeles	1011	731	540	561	543	508	69.49
19647331933795	S	Ulysses S. Grant Senior High	Los Angeles Unified	Los Angeles	532	176	435	444	443	44	25.00
19647331933852	S	Alexander Hamilton Senior High	Los Angeles Unified	Los Angeles	592	384	487	472	491	151	39.32
19647331934033	S	Hollywood Senior High	Los Angeles Unified	Los Angeles	316	228	440	436	437	46	20.18
19647331934157	S	Huntington Park Senior High	Los Angeles Unified	Los Angeles	384	208	400	405	402	20	9.62
19647331934371	S	Thomas Jefferson Senior High	Los Angeles Unified	Los Angeles	253	117	384	390	392	9	7.69
19647331934454	S	David Starr Jordan Senior High	Los Angeles Unified	Los Angeles	143	69	387	389	392	4	5.80
19647331935121	S	Abraham Lincoln Senior High	Los Angeles Unified	Los Angeles	334	219	424	460	422	45	20.55
19647331935352	S	Los Angeles Senior High	Los Angeles Unified	Los Angeles	295	139	406	418	397	14	10.07
19647331935519	S	Manual Arts Senior High	Los Angeles Unified	Los Angeles	423	200	381	384	379	9	4.50
19647331935568	S	John Marshall Senior High	Los Angeles Unified	Los Angeles	618	344	479	486	477	142	41.28
19647331935865	S	James Monroe High	Los Angeles Unified	Los Angeles	558	217	441	437	433	48	22.12
19647331936160	S	Nathaniel Narbonne Senior High	Los Angeles Unified	Los Angeles	430	281	437	448	435	69	24.56
19647331936350	S	North Hollywood Senior High	Los Angeles Unified	Los Angeles	657	380	514	510	512	177	46.58
19647331937085	S	Ramona Opportunity High	Los Angeles Unified	Los Angeles	20	0	NA	NA	NA	NA	NA
19647331937226	S	Reseda Senior High	Los Angeles Unified	Los Angeles	482	211	454	469	454	60	28.44
19647331937424	S	Theodore Roosevelt Senior High	Los Angeles Unified	Los Angeles	545	143	392	399	396	8	5.59
19647331937622	S	San Fernando Senior High	Los Angeles Unified	Los Angeles	514	262	419	428	420	45	17.18
19647331937838	S	San Pedro Senior High	Los Angeles Unified	Los Angeles	512	247	461	461	457	82	33.20
19647331938307	S	South Gate Senior High	Los Angeles Unified	Los Angeles	627	348	417	425	428	48	13.79
19647331938554	S	Sylmar Senior High	Los Angeles Unified	Los Angeles	584	224	410	405	411	23	10.27
19647331938612	S	William Howard Taft Charter High	Los Angeles Unified	Los Angeles	550	265	495	513	507	135	50.94
19647331938885	S	University Senior High	Los Angeles Unified	Los Angeles	416	246	464	470	462	78	31.71
19647331938968	S	Van Nuys Senior High	Los Angeles Unified	Los Angeles	522	301	525	536	521	163	54.15
19647331939040	S	Venice Senior High	Los Angeles Unified	Los Angeles	411	220	497	506	490	105	47.73
19647331939107	S	Verdugo Hills Senior High	Los Angeles Unified	Los Angeles	425	216	451	471	441	67	31.02
19647331939305	S	George Washington Preparatory High	Los Angeles Unified	Los Angeles	298	128	381	371	387	11	8.59
19647331939479	S	WESM Health/Sports Medicine	Los Angeles Unified	Los Angeles	215	153	434	429	435	32	20.92
19647331939784	S	Joseph Pomeroy Widney High	Los Angeles Unified	Los Angeles	162	1	*	*	*	*	*
19647331939859	S	Woodrow Wilson Senior High	Los Angeles Unified	Los Angeles	387	214	401	405	407	28	13.08
19647331939941	S	John F. Kennedy High	Los Angeles Unified	Los Angeles	433	244	454	461	459	74	30.33
19647331995448	S	Francisco Bravo Medical Magnet High	Los Angeles Unified	Los Angeles	335	321	473	486	477	131	40.81
19647331995489	S	Los Angeles Unified Alternative Educatio	Los Angeles Unified	Los Angeles	516	0	NA	NA	NA	NA	NA
19647331995794	S	Youth Opportunities Unlimited	Los Angeles Unified	Los Angeles	127	5	*	*	*	*	*
19647331995836	S	Palisades Charter High	Los Angeles Unified	Los Angeles	592	456	542	552	543	295	64.69
19647331996115	S	City of Angels	Los Angeles Unified	Los Angeles	428	30	509	461	490	15	50.00
19647331996610	S	Los Angeles Leadership Academy	Los Angeles Unified	Los Angeles	64	39	424	409	441	6	15.38
19647336016885	S	Elizabeth Learning Center	Los Angeles Unified	Los Angeles	160	111	430	408	434	15	13.51
19647336019475	S	Thirty-Second Street USC Performing Arts	Los Angeles Unified	Los Angeles	68	0	NA	NA	NA	NA	NA
19647336019715	S	Vaughn Next Century Learning Center	Los Angeles Unified	Los Angeles	126	84	438	414	432	14	16.67
19647336058002	S	Robert Fulton College Preparatory	Los Angeles Unified	Los Angeles	128	95	418	393	419	11	11.58
19647336061451	S	Foshay Learning Center	Los Angeles Unified	Los Angeles	187	159	455	463	463	48	30.19
19647336119929	S	Xinaxcalmecac Academia Semillas del Pueb	Los Angeles Unified	Los Angeles	13	0	NA	NA	NA	NA	NA
19647336119945	S	Magnolia Science Academy	Los Angeles Unified	Los Angeles	51	48	427	453	420	10	20.83
19647740000000	D		Lynwood Unified	Los Angeles	1113	412	407	411	411	50	12.14
19647740109538	S	Marco Antonio Firebaugh High	Lynwood Unified	Los Angeles	362	186	414	420	417	26	13.98
19647740114777	S	Pathway Independent Study	Lynwood Unified	Los Angeles	72	0	NA	NA	NA	NA	NA
19647741935436	S	Lynwood High	Lynwood Unified	Los Angeles	505	226	402	404	406	24	10.62
19647900000000	D		Monrovia Unified	Los Angeles	528	243	477	482	459	92	37.86
19647901935899	S	Canyon Oaks High	Monrovia Unified	Los Angeles	114	16	408	376	395	1	6.25
19647901935923	S	Monrovia High	Monrovia Unified	Los Angeles	375	218	480	489	462	87	39.91
19647901996404	S	Mountain Park	Monrovia Unified	Los Angeles	24	9	*	*	*	*	*
19648080000000	D		Montebello Unified	Los Angeles	2753	938	433	451	435	204	21.75
19648081930155	S	Schurr High	Montebello Unified	Los Angeles	772	334	470	481	461	113	33.83
19648081930825	S	Bell Gardens High	Montebello Unified	Los Angeles	788	324	409	422	410	40	12.35
19648081935998	S	Montebello High	Montebello Unified	Los Angeles	853	280	418	447	435	51	18.21
19648400000000	D		Norwalk-La Mirada Unified	Los Angeles	1634	523	459	469	455	161	30.78
19648401933647	S	John H. Glenn High	Norwalk-La Mirada Unified	Los Angeles	370	109	427	433	416	19	17.43
19648401934728	S	La Mirada High	Norwalk-La Mirada Unified	Los Angeles	506	196	487	501	484	88	44.90
19648401936467	S	Norwalk High	Norwalk-La Mirada Unified	Los Angeles	501	217	450	457	448	54	24.88
19648401936475	S	El Camino High (Continuation)	Norwalk-La Mirada Unified	Los Angeles	252	1	*	*	*	*	*
19648570000000	D		Palmdale Elementary	Los Angeles	519	0	NA	NA	NA	NA	NA
19648570112714	S	Antelope Valley Learning Academy	Palmdale Elementary	Los Angeles	513	0	NA	NA	NA	NA	NA
19648650000000	D		Palos Verdes Peninsula Unified	Los Angeles	1132	878	576	613	594	743	84.62
19648651933308	S	Rancho del Mar High (Continuation)	Palos Verdes Peninsula Unified	Los Angeles	41	8	*	*	*	*	*
19648651995588	S	Palos Verdes Peninsula High	Palos Verdes Peninsula Unified	Los Angeles	618	483	583	628	605	414	85.71
19648651996552	S	Palos Verdes High	Palos Verdes Peninsula Unified	Los Angeles	466	387	568	596	581	321	82.95
19648730000000	D		Paramount Unified	Los Angeles	1346	410	426	436	420	67	16.34
19648730120378	S	Paramount Alternative Education Center	Paramount Unified	Los Angeles	63	0	NA	NA	NA	NA	NA
19648731936749	S	Paramount High	Paramount Unified	Los Angeles	1112	410	426	436	420	67	16.34
19648810000000	D		Pasadena Unified	Los Angeles	1584	659	458	456	453	195	29.59
19648810117440	S	CIS Academy	Pasadena Unified	Los Angeles	134	2	*	*	*	*	*
19648810118075	S	Learning Works	Pasadena Unified	Los Angeles	216	0	NA	NA	NA	NA	NA
19648811931062	S	Blair High	Pasadena Unified	Los Angeles	128	72	450	464	435	19	26.39
19648811931674	S	Marshall Fundamental	Pasadena Unified	Los Angeles	244	186	478	459	485	70	37.63
19648811936103	S	John Muir High	Pasadena Unified	Los Angeles	257	122	400	396	394	7	5.74
19648811936806	S	Rose City High (Continuation)	Pasadena Unified	Los Angeles	125	7	*	*	*	*	*
19648811936822	S	Pasadena High	Pasadena Unified	Los Angeles	457	270	475	479	465	99	36.67
19649070000000	D		Pomona Unified	Los Angeles	2107	771	441	453	447	191	24.77
19649070115170	S	School of Extended Educational Options	Pomona Unified	Los Angeles	166	0	NA	NA	NA	NA	NA
19649071933175	S	Ganesha High	Pomona Unified	Los Angeles	293	107	409	431	424	17	15.89
19649071933324	S	Garey High	Pomona Unified	Los Angeles	451	155	420	415	423	18	11.61
19649071937028	S	Pomona High	Pomona Unified	Los Angeles	327	137	408	419	424	19	13.87
19649071995547	S	Pomona Alternative	Pomona Unified	Los Angeles	0	1	*	*	*	*	*
19649071995901	S	Diamond Ranch High	Pomona Unified	Los Angeles	459	300	481	495	478	117	39.00
19649071996495	S	Village Academy High School at Indian Hi	Pomona Unified	Los Angeles	111	71	438	450	447	20	28.17
19649076061634	S	Fremont Academy of Engineering and Desig	Pomona Unified	Los Angeles	93	0	NA	NA	NA	NA	NA
19649076061642	S	Palomares Academy of Health Science	Pomona Unified	Los Angeles	34	0	NA	NA	NA	NA	NA
19649640000000	D		San Marino Unified	Los Angeles	291	226	610	649	621	210	92.92
19649641937754	S	San Marino High	San Marino Unified	Los Angeles	290	226	610	649	621	210	92.92
19649800000000	D		Santa Monica-Malibu Unified	Los Angeles	961	529	548	553	549	343	64.84
19649801933373	S	Olympic High (Continuation)	Santa Monica-Malibu Unified	Los Angeles	58	2	*	*	*	*	*
19649801938000	S	Santa Monica High	Santa Monica-Malibu Unified	Los Angeles	711	392	547	556	545	252	64.29
19649801995737	S	Malibu High	Santa Monica-Malibu Unified	Los Angeles	182	135	552	546	562	90	66.67
19650290000000	D		South Pasadena Unified	Los Angeles	378	292	566	595	562	229	78.42
19650291938455	S	South Pasadena Senior High	South Pasadena Unified	Los Angeles	374	292	566	595	562	229	78.42
19650520000000	D		Temple City Unified	Los Angeles	552	363	555	604	562	283	77.96
